ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-40020261,PR-40016455,"St Mary's Outside School Hours Care Charleville","The Corporation of the Roman Catholic Diocese of Toowoomba - Early Learning & Care","Centre-Based Care","66 Watson Street",CHARLEVILLE,QLD,4470,0418316926,,"This service is approved to provide education and care to children over preschool age up to and including school children before school, after school and during school holidays. In addition to the prescribed information required to be displayed under section 172 of the Education and Care Services National Law and regulation 173 of the Education and Care Services National Regulations, the approved provider must display a map which clearly identifies the indoor and outdoor spaces on the school site approved by the school for use by the education and care service. This map is to be positioned so that is clearly visible to anyone from the main entrance to the education and care service premises.",45,09/02/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2025","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Dec 2022",,"October 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,,,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,,,,,No
SE-40020279,PR-40024198,"Songbirds Early Learning Pimpama","Next Gen Early Learning Holdings Pty Ltd as Trustee for Next Gen Early Learning Holdings Unit Trust","Centre-Based Care","1 Dandaloo Ct",PIMPAMA,QLD,4209,"07 5620 2400",,"The service is approved to provide education and care to a maximum of 45 school children at any one time. This service is approved to provide education and care to children from birth up to and including school children. The approved provider must ensure that the mirrors, CCTV cameras and monitors installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations.",146,08/08/2023,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2025",,,,,,,,,,,"July 2025",Yes,No,No,Yes,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020287,PR-40029787,"Harmony Early Education Bahrs Scrub","HARMONY BAHRS SCRUB PTY LTD","Centre-Based Care","5 Bahrs Scrub Road","BAHRS SCRUB",QLD,4207,"(07) 3606 0226",,"This service is approved to provide education and care to children from birth up to and including over preschool age. The service is not approved to provide education and care to school children.",125,28/05/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2024",,,,,,,,,,26/09/2022,"September 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020297,PR-40003060,"Ruby and Ollie's All Abilities Childcare","Ruby & Ollie's All Abilities Childcare Pty Ltd","Centre-Based Care","Beenleigh Special School, 52-74 Mount Warren Bvd","MOUNT WARREN PARK",QLD,4207,"2113 4478",,"This service is approved to provide education and care to children over preschool age up to and including school children, before school, after school and during school holidays In addition to the prescribed information required to be displayed under section 172 of the Education and Care Services National Law and regulation 173 of the Education and Care Services National Regulations, the approved provider must display a map which clearly identifies the indoor and outdoor spaces on the school site approved by the school for use by the education and care service. This map is to be positioned so that is clearly visible to anyone from the main entrance to the education and care service premises.",25,28/10/2021,"Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Sep 2024",,,,,,,,,,,"December 2025",No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,,,,,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,,,,,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,,,No
SE-40020305,PR-00008029,"C&K Robinson Road Childcare Centre","The Creche and Kindergarten Association Limited","Centre-Based Care","385-389 Robinson Road West",GEEBUNG,QLD,4034,"07 3554 2902",,"This service is approved to provide education and care to children from birth up to and including over preschool age. The service is not approved to provide education and care to school children. The Approved Provider must ensure that the mirrors installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations.",105,11/06/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2023",,,,,,,,,,,"December 2025",Yes,No,No,No,No,No,No,07:00,18:15,07:00,18:15,07:00,18:15,07:00,18:15,07:00,18:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40028032,PR-40032545,"Little Creek Early Learning","LITTLE CREEK EL PTY LTD","Centre-Based Care","647 Kingston Road",LOGANLEA,QLD,4131,1300647777,,"This service is approved to provide education and care to children from birth up to and including over preschool age, not including school children. The approved provider must ensure that the mirrors installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations. It is a condition of the service waiver that the approved provider must utilise 254.1m² of covered alternative space, outside of activity rooms 1, 2 and 3, reception and foyer on the ground level, and outside of activity rooms 4, 5, 6, 7 and 8 on the upper level, to satisfy part of the unencumbered outdoor space requirements for 135 children.     It is a condition of the service waiver that the approved provider must ensure that an adequate amount of healthy, live plants in a variety of species and sizes is maintained at all times in the alternative spaces of the service premises, ensuring children are afforded opportunities to explore and experience the natural environment.  ",135,23/11/2023,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2025",,,,,,,,,,,"December 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40028215,PR-40030160,"My Kids Early Learning","EARLY PROJECTS ELC PTY LTD","Centre-Based Care","50 Carlyle St",MACKAY,QLD,4740,0748631988,,"This service is approved to provide education and care to children from birth up to and including over preschool age, not including school children. The approved provider must ensure that the mirrors and CCTV cameras and monitors installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children, as required under regulation 115 of the Education and Care Services National Regulations.",97,23/02/2024,,,,,,,,,,,,,,,,,,,,"January 2025",Yes,No,No,No,No,No,No,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40028224,PR-40033754,"COUNTRY KIDS KINDERGARTEN AND EARLY LEARNING PTY LTD","COUNTRY KIDS KINDERGARTEN & EARLY LEARNING PTY LTD","Centre-Based Care","1279, Stapylton Jacobs Well Rd",STEIGLITZ,QLD,4207,0755465053,,"This service is approved to provide education and care to children from 36 months up to and including over preschool age, not including school children",25,18/01/2024,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2025",,,,,,,,,,,"December 2025",Yes,No,No,No,No,No,No,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40028360,PR-40025997,"Edge Early Learning Flagstone","EDGE EARLY LEARNING QLD PTY LTD","Centre-Based Care","2-4 Golden Penda Drive",FLAGSTONE,QLD,4280,0735197699,,"This service is approved to provide education and care to children from birth up to and including over preschool age, not including school children. The approved provider must ensure that the mirrors installed at the service are constantly maintained and operational to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations.",108,18/01/2024,,,,,,,,,,,,,,,,,,,,"December 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40028370,PR-40034350,"Quality Beginnings Family Day Care","QUALITY BEGINNINGS PTY LTD","Family Day Care","111 Cruikshank St",FRENCHVILLE,QLD,4701,0417077412,,"In accordance with regulation 123A(a) of the Education and Care Services National Regulations, the Approved Provider must employ or engage one full-time equivalent family day care co-ordinator for every 15 family day care educators engaged by or registered with the family day care service for the first twelve (12) months of operation. The Approved Provider must only engage or register educators with the family day care service who provide education and care in the Rockhampton Regional and Livingstone Shire local government area.
 The Approved Provider must not engage or register more than 20 family day care educators with the service.",,09/04/2024,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,No
SE-40028429,PR-40025702,"Children First Early Education Cranbrook","IMAGINE EDUCATION EARLY LEARNING CENTRES NO. 24 PTY LTD","Centre-Based Care","413-417, Ross River Road",CRANBROOK,QLD,4814,0744530790,,"This service is approved to provide education and care to children from birth up to and including school children.
 This service is approved to provide education and care to a maximum of 15 school children at any one time.
 The approved provider must ensure that the mirrors and CCTV cameras and monitors installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children, as required under regulation 115 of the Education and Care Services National Regulations.
 ",100,18/01/2024,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2025",,,,,,,,,,,"September 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40028497,PR-00008029,"C&K Parkhurst Community Childcare Centre","The Creche and Kindergarten Association Limited","Centre-Based Care","906-910 Yaamba Rd",PARKHURST,QLD,4702,0749943361,,"The approved provider must ensure that the supervision mirrors installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations. This service is approved to provide education and care to children from birth up to and including over preschool age, not including school children.",136,06/06/2024,,,,,,,,,,,,,,,,,,,,"August 2025",Yes,No,No,No,No,No,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
