ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-40019980,PR-00005594,"Barnardos Early Learning Centre Ultimo","Barnardos Australia","Centre-Based Care","47-53 Jones Street",ULTIMO,NSW,2007,0291713500,,,40,12/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2022",,,,,,,,,,,"April 2025",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,No
SE-40019995,PR-40002814,"Belonging Early Learning Hornsby","LEESASA PTY LTD","Centre-Based Care","53-55 Clarke Road",HORNSBY,NSW,2077,"02 7813 2444",,,100,01/07/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2022",,,,,,,,,,,"February 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020025,PR-40011760,"Sustainable Play Preschool","SUSTAINABLE PLAY PTY LTD","Centre-Based Care","40 Nelson St",BARNSLEY,NSW,2278,0240010140,,,47,13/05/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2022",,,,,,,,,,,"July 2025",Yes,No,Yes,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,No
SE-40020046,PR-00004456,"Scribbles and Giggles Childcare Centre Busby","Scribbles & Giggles Childcare Centre Pty Ltd","Centre-Based Care","87 St Johns Rd",BUSBY,NSW,2168,"8119 3881",,,35,25/06/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2022",,,,,,,,,,18/10/2021,"June 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020081,PR-40022827,"The Discovery Garden Early Education, Care and Preschool","Morety Pty Ltd as Trustee for Morety Unit Trust","Centre-Based Care","160 Floraville Rd",FLORAVILLE,NSW,2280,"02 4003 4800",,,124,10/02/2021,"Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Jul 2022",,,,,,,,,,,"January 2025",Yes,No,No,Yes,Yes,Yes,No,06:15,18:15,06:15,18:15,06:15,18:15,06:15,18:15,06:15,18:15,,,,,06:15,09:00,06:15,09:00,06:15,09:00,06:15,09:00,06:15,09:00,,,,,14:45,18:15,14:45,18:15,14:45,18:15,14:45,18:15,14:45,18:15,,,,,06:15,18:15,06:15,18:15,06:15,18:15,06:15,18:15,06:15,18:15,,,,,No
SE-40020097,PR-40008716,"Active OOSH Hallidays Point","De Courcy Dutton Blackwood Pty Ltd","Centre-Based Care","300 Diamond Beach Rd","DIAMOND BEACH",NSW,2430,0412033323,,"•	The approved provider must ensure that the education and care service only provides education and care for children over preschool age •	The approved provider must ensure that, for each child being educated and cared for by the service, the education and care service premises has at least 2.52 square metres of unencumbered indoor space.  ",75,19/01/2021,"Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Jun 2022",,,,,,,,,,,"January 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,,,,,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40020098,PR-40012340,"Fun Kids Punchbowl","FUNKIDS PTY LIMITED","Centre-Based Care","Punchbowl Public School, 1333 Canterbury Rd",PUNCHBOWL,NSW,2196,0422968085,,,30,25/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2022",,,,,,,,,,,"July 2024",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40020120,PR-00010064,"Shared Beginnings Pyrmont","Shared Beginnings AP PTY LTD","Centre-Based Care","21 Harris St",PYRMONT,NSW,2009,1300955540,,,110,06/09/2021,"Working Towards NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Jan 2023",,,,,,,,,,01/12/2025,"February 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020123,PR-40004402,"Thirlmere OSHClub","OSHCLUB PTY LTD","Centre-Based Care","Oaks Rd, Thirlmere Public School",THIRLMERE,NSW,2572,0419574644,,,96,21/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2022",,,,,,,,,,,"June 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,,,,,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,Yes
SE-40020162,PR-40014447,"Advanced Early Learning- Merrylands Rd","ADVANCED EARLY LEARNING PTY LTD","Centre-Based Care","368 Merrylands Rd",MERRYLANDS,NSW,2160,"1300 821 621",,,80,11/02/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2022",,,,,,,,,,,"November 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020174,PR-40009962,"Young Academics Early Learning Centre Tallawong","KAZCORP HOLDINGS (ROUSE HILL) PTY LTD","Centre-Based Care","3 Zissie St",TALLAWONG,NSW,2762,1300668993,,,60,10/03/2021,"Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Nov 2022",,,,,,,,,,,"September 2024",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020183,PR-40022427,"Toongabbie Montessori Academy","TOONGABBIE MONTESSORI ACADEMY PTY LTD","Centre-Based Care","7 station Road",TOONGABBIE,NSW,2146,0289167562,,,55,16/02/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Dec 2022",,,,,,,,,,,"October 2024",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020201,PR-00007930,"Cubby OOSH at Whalan","Cubbyhouse Childcare Australia Pty Ltd ATF Cubbyhouse Childcare Australia Unit Trust","Centre-Based Care","1 Karangi Rd",WHALAN,NSW,2770,1300553583,,,30,25/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2022",,,,,,,,,,,"August 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,08:30,07:00,08:30,07:00,08:30,07:00,08:30,07:00,08:30,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40020207,PR-00002539,"Camp Australia - Penrith Public School OSHC","Camp Australia Pty Limited","Centre-Based Care","Cnr High Street & Doonmore Street",PENRITH,NSW,2750,0402353737,,,69,22/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2022",,,,,,,,,,,"July 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:15,08:45,07:15,08:45,07:15,08:45,07:15,08:45,07:15,08:45,,,,,15:15,18:15,15:15,18:15,15:15,18:15,15:15,18:15,15:15,18:15,,,,,07:15,18:15,07:15,18:15,07:15,18:15,07:15,18:15,07:15,18:15,,,,,Yes
SE-40020209,PR-00002539,"Camp Australia - Carlingford Public School OSHC","Camp Australia Pty Limited","Centre-Based Care","Carlingford Public School, 5 Rickard St",CARLINGFORD,NSW,2118,"0424 483 477",,,116,25/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2022",,,,,,,,,,,"March 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,Yes
SE-40020211,PR-40002234,"TeamKids - Camden Public School","TEAM HOLIDAY PTY LTD","Centre-Based Care","Camden Public School, John Street",CAMDEN,NSW,2570,1300035000,,"The approved provider must ensure that the education and care service only provides education and care for children over preschool age.

 The approved provider must ensure that, for each child being educated and cared for by the service, the education and care service premises has at least 3.19 square metres of unencumbered indoor space.  ",45,25/01/2021,"Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Nov 2022",,,,,,,,,,14/10/2025,"October 2024",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,,,,,15:20,18:30,15:20,18:30,15:20,18:30,15:20,18:30,15:20,18:30,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,Yes
SE-40020226,PR-40031665,"LITTLE STAR EARLY LEARNING CENTRE",,"Centre-Based Care","123 Dora St",HURSTVILLE,NSW,2220,0295803171,,,40,31/03/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2022",,,,,,,,,,01/05/2023,"November 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020230,PR-40007618,"Morisset OOSH & VC","Care Activities Incorporated","Centre-Based Care","Morisset Public School, 6 Terrigal St",MORISSET,NSW,2264,"02 4950 3888",,,30,25/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2022",,,,,,,,,,,"July 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40020231,PR-40007618,"Salt Ash OOSH & VC","Care Activities Incorporated","Centre-Based Care","4 Salt Ash Ave","SALT ASH",NSW,2318,0460001780,,,45,09/02/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2022",,,,,,,,,,,"July 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40020253,PR-00002539,"Camp Australia - Northbourne Public School OSHC","Camp Australia Pty Limited","Centre-Based Care","Northbourne Public School, Northbourne Dr","MARSDEN PARK",NSW,2765,0452247779,,,320,28/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2023",,,,,,,,,,31/01/2023,"August 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:15,06:30,08:15,06:30,08:15,06:30,08:15,06:30,08:15,,,,,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,,,,,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,Yes
SE-40020260,PR-40011145,"Estella Public School NSW TheirCare","TheirCare Pty Ltd","Centre-Based Care","Estella Rd",ESTELLA,NSW,2650,1300072410,,,88,28/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2022",,,,,,,,,,,"February 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40020264,PR-40022739,"Pinnacle Early Education","MEDUSA EARLY LEARNING PTY LTD","Centre-Based Care","24 Auburn Rd",BERALA,NSW,2141,0296435102,,,36,09/04/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2022",,,,,,,,,,,"May 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
